CIK,Company_Name,Filing_Year_End,Alignment_Similarity,Score_1_Fin,Score_1_Fin_Unbounded,Score_1_Text,Score_1_Text_Unbounded,Score_2_Fin_Velocity,Score_2_Fin_Directional,Score_2_Text_Velocity,Score_2_Text_Directional,Score_3_Decoupling_Distance,Score_3_Cosine_Dissimilarity,Score_3_Signed_Divergence
29332,DIXIE GROUP INC,2020,0.919,0.6091,1.5612,0.9322,3.0126,0.8528,4.0453,0.0369,0.0053,0.4024,0.081,-1.4514
29332,DIXIE GROUP INC,2021,0.9057,0.3895,1.1168,0.9109,2.7995,0.0886,-0.4444,0.0589,-0.2131,0.4343,0.0943,-1.6827
29332,DIXIE GROUP INC,2022,0.8882,-0.0065,0.4902,0.8949,2.6689,0.1411,-0.6266,0.0478,-0.1306,0.4728,0.1118,-2.1787
29989,OMNICOM GROUP INC.,2019,0.9908,0.9312,3.0012,0.9013,2.7188,0.0,0.0,0.0,0.0,0.1354,0.0092,0.2824
29989,OMNICOM GROUP INC.,2020,0.9801,0.9147,2.8333,0.8897,2.6311,0.1447,-0.1679,0.0247,-0.0878,0.1994,0.0199,0.2022
29989,OMNICOM GROUP INC.,2021,0.9926,0.8921,2.6481,0.883,2.5835,0.1405,-0.1852,0.0189,-0.0476,0.1214,0.0074,0.0646
29989,OMNICOM GROUP INC.,2022,0.978,0.9512,3.2665,0.8646,2.4672,0.1503,0.6184,0.0261,-0.1163,0.2099,0.022,0.7994
30697,WENDY'S CO,2021,0.9917,0.9195,2.8784,0.9434,3.1524,0.0,0.0,0.0,0.0,0.1285,0.0083,-0.274
30697,WENDY'S CO,2022,0.9931,0.9459,3.1876,0.9327,3.0177,0.1177,0.3092,0.0402,-0.1347,0.1171,0.0069,0.1699
31667,EDUCATIONAL DEVELOPMENT CORP,2020,0.9555,0.897,2.6851,0.5882,1.5124,0.0,0.0,0.0,0.0,0.2985,0.0445,1.1727
31667,EDUCATIONAL DEVELOPMENT CORP,2021,0.9425,0.9037,2.738,0.4491,1.2253,0.0141,0.0528,0.0714,-0.2871,0.3392,0.0575,1.5127
31667,EDUCATIONAL DEVELOPMENT CORP,2022,0.9578,0.9153,2.8388,0.5712,1.474,0.0854,0.1008,0.0582,0.2487,0.2904,0.0422,1.3648
31667,EDUCATIONAL DEVELOPMENT CORP,2023,0.9053,0.9778,3.8686,0.816,2.2169,0.3699,1.0298,0.1523,0.7429,0.4352,0.0947,1.6517
31978,EL PASO ELECTRIC CO /TX/,2019,0.9912,0.942,3.1331,0.9665,3.5542,0.0,0.0,0.0,0.0,0.1324,0.0088,-0.4211
33213,EQT CORP,2021,0.9986,0.7838,2.0826,0.7526,1.9683,0.0,0.0,0.0,0.0,0.0536,0.0014,0.1143
33213,EQT CORP,2022,0.9983,0.7665,2.0177,0.7109,1.8336,0.0137,-0.0649,0.0292,-0.1347,0.059,0.0017,0.1841
33533,ESPEY MFG & ELECTRONICS CORP,2020,0.9379,0.9658,3.5384,0.9187,2.8705,0.0,0.0,0.0,0.0,0.3524,0.0621,0.6679
33533,ESPEY MFG & ELECTRONICS CORP,2021,0.9469,0.7025,1.8084,0.8568,2.4216,0.3724,-1.73,0.1296,-0.4488,0.3258,0.0531,-0.6133
33533,ESPEY MFG & ELECTRONICS CORP,2022,0.9688,0.7584,1.9886,0.8446,2.3555,0.0412,0.1802,0.0853,-0.0662,0.2499,0.0312,-0.3669
33533,ESPEY MFG & ELECTRONICS CORP,2023,0.9851,0.8813,2.5721,0.8942,2.6641,0.1302,0.5835,0.0731,0.3086,0.1724,0.0149,-0.092
34088,EXXON MOBIL CORP,2022,0.9145,0.9915,4.5944,0.9812,3.9945,0.0,0.0,0.0,0.0,0.4136,0.0855,0.5999
35214,FERRO CORP,2019,0.0136,-0.9452,-2.1767,0.9828,4.0603,0.0,0.0,0.0,0.0,1.4046,0.9864,-6.237
35214,FERRO CORP,2020,0.3902,-0.931,-1.9989,0.9388,3.0923,0.0823,0.1779,0.3382,-0.968,1.1043,0.6098,-5.0912
36047,"CORELOGIC, INC.",2019,0.9825,0.5002,1.3245,0.7369,1.9154,0.0,0.0,0.0,0.0,0.1869,0.0175,-0.5909
36047,"CORELOGIC, INC.",2020,0.9654,0.5907,1.5182,0.8477,2.372,0.0403,0.1938,0.1224,0.4566,0.2631,0.0346,-0.8538
39020,FREQUENCY ELECTRONICS INC,2020,0.0144,-0.9598,-2.4154,0.7726,2.04,0.0,0.0,0.0,0.0,1.404,0.9856,-4.4555
39911,GAP INC,2020,0.9886,0.9446,3.1682,0.9468,3.1997,0.0,0.0,0.0,0.0,0.151,0.0114,-0.0315
39911,GAP INC,2021,0.9888,0.9491,3.2347,0.9571,3.3661,0.0234,0.0665,0.0427,0.1664,0.1495,0.0112,-0.1314
39911,GAP INC,2022,0.9876,0.9505,3.2551,0.9636,3.4906,0.0104,0.0204,0.0307,0.1245,0.1575,0.0124,-0.2355
39911,GAP INC,2023,0.9505,0.8581,2.429,0.9637,3.4921,0.1988,-0.8262,0.0136,0.0015,0.3147,0.0495,-1.0631
